Tempering_time_(s) Tempering_temperature_(ºC) C(%wt) Mn(%wt) P(%wt) S(%wt) Si(%wt) Ni(%wt) Cr(%wt) Mo(%wt) V(%wt) Al(%wt) Cu(%wt) Final_hardness_(HRC)_post_tempering
86400 537.8 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 24.1
86400 593.3 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 18.7
86400 648.9 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 14.0
86400 704.4 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 10.4
600 204.4 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 55.2
600 260 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 53.6
600 315.6 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 50.0
600 371.1 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 46.5
600 426.7 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 42.0
600 482.2 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 36.6
600 537.8 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 32.1
600 593.3 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 28.4
600 648.9 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 23.6
600 704.4 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 17.9
3600 204.4 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 54.5
3600 260 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 51.9
3600 315.6 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 48.9
3600 371.1 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 44.7
3600 426.7 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 39.6
3600 482.2 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 34.2
3600 537.8 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 29.5
3600 593.3 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 24.7
3600 648.9 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 19.2
3600 704.4 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 13.5
14400 204.4 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 53.2
14400 260 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 50.6
14400 315.6 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 48.0
14400 371.1 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 42.8
14400 426.7 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 37.3
14400 482.2 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 32.3
14400 537.8 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 26.5
14400 593.3 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 22.1
14400 648.9 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 15.9
14400 704.4 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 9.7
86400 204.4 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 52.1
86400 260 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 49.8
86400 315.6 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 46.1
86400 371.1 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 40.5
86400 426.7 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 34.6
86400 482.2 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 28.4
86400 537.8 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 23.3
86400 593.3 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 17.1
86400 648.9 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 11.4
86400 704.4 0.44 0.79 0.02 0.03 0.24 0.02 0.02 0.01 0 0 0 7.6
600 204.4 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 56.9
600 260 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 54.9
600 315.6 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 51.2
600 371.1 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 48.0
600 426.7 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 43.3
600 482.2 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 38.0
600 537.8 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 33.4
600 593.3 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 29.1
600 648.9 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 24.2
600 704.4 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 18.5
3600 204.4 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 56.3
3600 260 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 53.2
3600 315.6 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 50.2
3600 371.1 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 45.9
3600 426.7 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 40.7
3600 482.2 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 35.6
3600 537.8 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 30.4
3600 593.3 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 25.3
3600 648.9 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 20.3
3600 704.4 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 14.2
14400 204.4 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 54.5
14400 260 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 52.6
14400 315.6 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 49.1
14400 371.1 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 44.3
14400 426.7 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 38.4
14400 482.2 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 33.3
14400 537.8 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 27.8
14400 593.3 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 22.4
14400 648.9 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 17.5
14400 704.4 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 10.9
86400 204.4 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 53.8
