Standard,SteelGrade,"wt_C, %","wt_Si, %","wt_Mn, %","wt_P, %","wt_S, %","wt_V, %","wt_Nb, %","wt_Ti, %","wt_Al, %","wt_B, %","wt_Cr, %","wt_Ni, %","wt_Cu, %","wt_As, %",YieldStress,TensileStrength,Elongation
Arcelor,DP780Y500 LCE_arcelor_arcelor_arcelor,0.085,0.68,2.125,0.0425,0.0085,0,0.07,0.07,0.85225,0.00425,0.65,0,0.17,0,560,840,0
Arcelor,DF140T_arcelor_arcelor_arcelor,0.1445,0.34,1.445,0.017,0.0085,0,0.07,0.07,0.0115,0.00425,0.45,0,0.17,0,625,1078,0
Arcelor,DP980Y600 LCE_arcelor_arcelor_arcelor,0.0935,0.85,2.465,0.0425,0.0085,0,0.07,0.07,0.85225,0.00425,0.65,0,0.17,0,665,1055,0
Arcelor,DP980Y700_arcelor_arcelor_arcelor,0.1955,0.85,2.465,0.0425,0.0085,0,0.07,0.07,0.85225,0.00425,0.65,0,0.17,0,775,1055,0
Arcelor,DP980Y700 LCE_arcelor_arcelor_arcelor,0.0935,0.85,2.465,0.0425,0.0085,0,0.07,0.07,0.85225,0.00425,0.65,0,0.17,0,775,1055,0
Arcelor,DP1180Y800_arcelor_arcelor_arcelor,0.1955,0.85,2.465,0.0425,0.0085,0,0.07,0.07,0.85225,0.00425,0.45,0,0.17,0,865,1265,0
Arcelor,DP1180Y900_arcelor_arcelor_arcelor,0.1955,0.85,2.465,0.0425,0.0085,0,0.07,0.07,0.8725,0.00425,0.45,0,0.17,0,1000,1265,0
Arcelor,TRIP700_arcelor_arcelor_arcelor,0.204,1.7,1.87,0.0425,0.0085,0,0.09,0.09,1.70225,0.00425,0.25,0,0.17,0,460,745,0
Arcelor,TRIP800_arcelor_arcelor_arcelor,0.2125,1.87,2.125,0.0425,0.0085,0,0.09,0.09,1.70225,0.00425,0.25,0,0.17,0,510,845,0
Arcelor,CP600_arcelor_arcelor_arcelor,0.085,0.34,1.36,0,0,0,0,0,0,0,0,0,0,0,400,650,0
Arcelor,CP800Y500_arcelor_arcelor_arcelor,0.153,0.85,2.125,0.0425,0.0085,0,0.07,0.07,0.85225,0.00425,0.45,0,0.17,0,560,840,0
Arcelor,CP800Y600_arcelor_arcelor_arcelor,0.153,0.85,2.125,0.0425,0.0085,0,0.07,0.07,0.85225,0.00425,0.45,0,0.17,0,645,850,0
Arcelor,CP1000Y800_arcelor_arcelor_arcelor,0.1955,0.85,2.295,0.0425,0.0085,0,0.07,0.07,0.85225,0.00425,0.45,0,0.17,0,865,1060,0
Arcelor,HF980Y600_arcelor_arcelor_arcelor,0.221,1.87,2.125,0.0425,0.0085,0,0.07,0.07,1.70225,0.00425,0.65,0,0.17,0,675,1055,0
Arcelor,HF1050Y700_arcelor_arcelor_arcelor,0.1955,1.53,2.125,0.034,0.0085,0,0.07,0.07,0.85225,0.00425,0.25,0,0.17,0,760,1115,0
Arcelor,HF1180Y850_arcelor_arcelor_arcelor,0.221,1.87,2.55,0.0425,0.0085,0,0.07,0.07,1.70225,0.00425,0.65,0,0.17,0,955,1255,0
Arcelor,DP600 DH_arcelor_arcelor_arcelor,0.1275,0.68,2.125,0.0425,0.0085,0,0.07,0.07,0.85225,0.00425,0.65,0,0.17,0,380,645,0
Arcelor,DP780 DH_arcelor_arcelor_arcelor,0.153,0.68,2.125,0.0425,0.0085,0,0.07,0.07,0.85225,0.00425,0.65,0,0.17,0,495,840,0
Arcelor,DP980 DH_arcelor_arcelor_arcelor,0.1955,1.02,2.465,0.0425,0.0085,0,0.07,0.07,0.85225,0.00425,0.65,0,0.17,0,775,1055,0
Arcelor,980 CH_arcelor_arcelor_arcelor,0.17,1.02,2.295,0.0425,0.0085,0,0.07,0.07,0.85225,0.00425,0.45,0,0.17,0,865,1060,0
Arcelor,MS1200_arcelor_arcelor_arcelor,0.1955,0.425,1.87,0.017,0.02125,0,0.07,0.07,0.0115,0.0085,0.45,0,0.17,0,1085,1310,0
Arcelor,MS1300_arcelor_arcelor_arcelor,0.238,0.85,1.87,0.017,0.02125,0,0.07,0.07,0.0115,0.0085,0.45,0,0.17,0,1195,1425,0
Arcelor,MS1500_arcelor_arcelor_arcelor,0.255,0.85,2.125,0.017,0.02125,0,0.07,0.07,0.0115,0.0085,0.45,0,0.17,0,1395,1635,0
Arcelor,MS1700_arcelor_arcelor_arcelor,0.2975,0.85,2.55,0.017,0.02125,0,0.07,0.07,0.0115,0.0085,0.45,0,0.17,0,1560,1850,0
Arcelor,Ductibor® 450_arcelor_arcelor_arcelor,0.085,0.051,0.51,0.0255,0.02125,0,0.068,0.1275,0.17225,0.00085,0,0,0.17,0,363,544.5,0
Arcelor,Ductibor® 500_arcelor_arcelor_arcelor,0.085,0.425,1.445,0.0255,0.02125,0,0.085,0.0765,0.17225,0.00085,0.17,0,0.17,0,340,665.5,0
